year,Female,Male,gap_pp,mk_men_tau,mk_men_p,mk_women_tau,mk_women_p,mk_gap_tau,mk_gap_p,lr_slope_pp_per_year,lr_p,lr_R2
2010,6.022944550669216,8.780855473902394,2.7579109232331778,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2011,10.425502804761253,17.559804847340256,7.134302042579003,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2012,7.522180789507522,13.619744058500913,6.097563268993391,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2013,6.300813008130081,11.515129367051602,5.21431635892152,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2014,10.337615775321183,18.006795016987542,7.66917924166636,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2015,7.885182663943726,15.336604372609857,7.451421708666131,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2016,11.695196024295969,20.247685010916207,8.552488986620238,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2017,7.75101140125046,15.10508037664244,7.354068975391981,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2018,14.123390287012878,25.996861402382482,11.873471115369604,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2019,9.227799227799228,15.502398633107708,6.27459940530848,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2021,18.508376288659793,33.183965120503814,14.67558883184402,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2022,11.817856503846842,19.801592481399297,7.983735977552454,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2023,10.943531093638313,19.190595899868995,8.247064806230682,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2024,7.849408068226449,13.92368610511159,6.074278036885142,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
2025,11.184290767166727,31.05051645687336,19.86622568970663,0.26153846153846155,0.06409905424175921,0.3353846153846154,0.017289748509042413,0.13846153846153847,0.3321321174074414,0.12403082264752083,0.16864315283586293,0.077443822704658
